CLASS,CAPTION
657,Accounting
354,Administration of economy & environment
22,Administration of physical plant
374,Adult education
659,Advertising & public relations
496,African languages
896,African literatures
492,Afro-Asiatic languages; Semitic languages
892,Afro-Asiatic literatures; Semitic literatures
630,Agriculture
630,Agriculture & related technologies
358,Air & other specialized forces
512,Algebra
965,Algeria
494,"Altaic, Uralic, Hyperborean & Dravidian"
894,"Altaic, Uralic, Hyperborean & Dravidian"
812,American drama in English
814,American essays in English
813,American fiction in English
817,American humor & satire in English
816,American letters in English
810,American literature in English
810,American literature in English
818,American miscellaneous writings
811,American poetry in English
815,American speeches in English
169,Analogy
515,Analysis
543,Analytical chemistry
180,"Ancient, medieval & eastern philosophy"
180,"Ancient, medieval & eastern philosophy"
283,Anglican churches
636,Animal husbandry
590,Animals (Zoology)
590,Animals (Zoology)
229,Apocrypha & pseudepigrapha
239,Apologetics & polemics
621,Applied physics
158,Applied psychology
797,Aquatic & air sports
953,Arabian Peninsula & adjacent areas
721,Architectural structure
720,Architecture
720,Architecture
724,Architecture from 1400
723,Architecture from ca. 300 to 1399
722,Architecture to ca. 300
998,Arctic islands & Antarctica
711,Area planning
982,Argentina
168,Argument & persuasion
185,Aristotelian philosophy
513,Arithmetic
739,Art metalwork
595,Arthropods
700,Arts
700,Arts & recreation
366,Associations
267,Associations for religious work
60,"Associations, organizations & museums"
520,Astronomy
520,Astronomy & allied sciences
796,Athletic & outdoor sports & games
997,Atlantic Ocean islands
912,"Atlases, maps, charts & plans"
994,Australia
499,Austronesian & other languages
899,Austronesian & other literatures
692,Auxiliary construction practices
286,"Baptist, Disciples of Christ & Adventist"
143,Bergsonism & intuitionism
663,Beverage technology
220,Bible
10,Bibliographies
11,Bibliographies
14,Bibliographies of anonymous & pseudonymous works
12,Bibliographies of individuals
15,Bibliographies of works from specific places
16,Bibliographies of works on specific subjects
10,Bibliography
572,Biochemistry
920,Biography & genealogy
920,"Biography, genealogy & insignia"
598,Birds
92,Block books
984,Bolivia
95,Books notable for bindings
99,Books notable for format
96,Books notable for illustrations
97,Books notable for ownership or origin
981,Brazil
941,British Isles
588,Bryophytes
690,Building & construction
691,Building materials
690,Buildings
727,Buildings for education & research
726,Buildings for religious purposes
971,Canada
736,Carving & carvings
18,"Catalogs arranged by author, date, etc."
122,Causation
521,Celestial mechanics
527,Celestial navigation
967,Central Africa & offshore islands
958,Central Asia
943,Central Europe; Germany
666,Ceramic & allied technologies
738,Ceramic arts
116,Change
660,Chemical engineering
660,Chemical engineering
540,Chemistry
540,Chemistry & allied sciences
649,Child rearing & home care of persons
983,Chile
951,China & adjacent areas
931,China to 420
596,Chordates
280,Christian denominations
280,Christian denominations & sects
241,Christian ethics
248,"Christian experience, practice & life"
240,Christian moral & devotional theology
249,Christian observances in family life
250,Christian orders & local church
260,"Christian organization, social work & worship"
250,Christian pastoral practice & religious orders
240,Christian practice & observance
230,Christianity & Christian theology
230,Christianity & Christian theology
764,Chromolithography & serigraphy
529,Chronology
247,Church furnishings & articles
710,Civic & landscape art
323,Civil & political rights
624,Civil engineering
347,Civil procedure & courts
480,Classical & modern Greek languages
880,Classical & modern Greek literatures
483,Classical Greek dictionaries
882,Classical Greek dramatic poetry & drama
883,Classical Greek epic poetry & fiction
482,Classical Greek etymology
485,Classical Greek grammar
887,Classical Greek humor & satire
886,Classical Greek letters
884,Classical Greek lyric poetry
888,Classical Greek miscellaneous writings
881,Classical Greek poetry
885,Classical Greek speeches
488,Classical Greek usage
481,Classical Greek writing & phonology
473,Classical Latin dictionaries
472,Classical Latin etymology
475,Classical Latin grammar
478,Classical Latin usage
471,Classical Latin writing & phonology
531,Classical mechanics; solid mechanics
667,"Cleaning, color & coating technologies"
687,Clothing & accessories
597,Cold-blooded vertebrates; fishes
904,Collected accounts of events
81,Collections in American English
82,Collections in English
84,"Collections in French, Occitan & Catalan"
85,"Collections in Italian, Romanian & related languages"
83,Collections in other Germanic languages
89,Collections in other languages
88,Collections in Scandinavian languages
87,Collections in Slavic languages
86,Collections in Spanish & Portuguese
310,Collections of general statistics
986,Colombia & Ecuador
752,Color
381,Commerce
380,"Commerce, communications & transportation"
380,"Commerce, communications & transportation"
384,Communications; telecommunication
307,Communities
156,Comparative psychology
776,Computer art (Digital art)
5,"Computer programming, programs & data"
0,"Computer science, information & general works"
0,"Computer science, information & general works"
0,"Computer science, knowledge & systems"
211,Concepts of God
342,Constitutional & administrative law
334,Cooperatives
113,Cosmology
391,Costume & personal appearance
213,Creation
238,Creeds & catechisms
345,Criminal law
364,Criminology
142,Critical philosophy
548,Crystallography
306,Culture & institutions
375,Curricula
392,Customs of life cycle & domestic life
399,Customs of war & diplomacy
390,"Customs, etiquette & folklore"
390,"Customs, etiquette & folklore"
4,Data processing & computer science
263,"Days, times & places of observance"
393,Death customs
745,Decorative arts
162,Deduction
729,Design & decoration
698,Detail finishing
123,Determinism & indeterminism
242,Devotional literature
417,Dialectology & historical linguistics
583,Dicotyledons
413,Dictionaries
103,Dictionaries & encyclopedias
403,Dictionaries & encyclopedias
503,Dictionaries & encyclopedias
603,Dictionaries & encyclopedias
803,Dictionaries & encyclopedias
903,Dictionaries & encyclopedias
703,Dictionaries of fine & decorative arts
19,Dictionary catalogs
155,Differential & developmental psychology
775,Digital photography
616,Diseases
137,Divinatory graphology
273,Doctrinal controversies & heresies
202,Doctrines
740,Drawing & decorative arts
740,Drawing & decorative arts
741,Drawing & drawings
743,Drawing & drawings by subject
135,Dreams & mysteries
281,Early church & Eastern churches
525,Earth (Astronomical geography)
550,Earth sciences
550,Earth sciences & geology
556,Earth sciences of Africa
555,Earth sciences of Asia
554,Earth sciences of Europe
557,Earth sciences of North America
559,Earth sciences of other areas
558,Earth sciences of South America
491,East Indo-European & Celtic languages
891,East Indo-European & Celtic literatures
947,Eastern Europe; Russia
181,Eastern philosophy
262,Ecclesiology
148,"Eclecticism, liberalism & traditionalism"
577,Ecology
553,Economic geology
330,Economics
330,Economics
333,Economics of land & energy
370,Education
370,Education
107,"Education, research & related topics"
407,"Education, research & related topics"
507,"Education, research & related topics"
607,"Education, research & related topics"
707,"Education, research & related topics"
807,"Education, research & related topics"
907,"Education, research & related topics"
962,Egypt & Sudan
932,Egypt to 640
678,Elastomers & elastomer products
537,Electricity & electronics
372,Elementary education
30,Encyclopedias & books of facts
31,Encyclopedias in American English
32,Encyclopedias in English
34,"Encyclopedias in French, Occitan & Catalan"
35,"Encyclopedias in Italian, Romanian & related languages"
33,Encyclopedias in other Germanic languages
39,Encyclopedias in other languages
38,Encyclopedias in Scandinavian languages
37,Encyclopedias in Slavic languages
36,Encyclopedias in Spanish & Portuguese
620,Engineering
620,Engineering & allied operations
625,Engineering of railroads & roads
942,England & Wales
420,English & Old English
420,English & Old English languages
820,English & Old English literatures
820,English & Old English literatures
423,English dictionaries
822,English drama
824,English essays
422,English etymology
823,English fiction
425,English grammar
827,English humor & satire
427,English language variations
826,English letters
828,English miscellaneous writings
821,English poetry
825,English speeches
421,English writing system & phonology
785,Ensembles with one instrument per part
528,Ephemerides
187,Epicurean philosophy
120,Epistemology
121,Epistemology
120,"Epistemology, causation & humankind"
227,Epistles
798,Equestrian sports & animal racing
236,Eschatology
767,Etching & drypoint
171,Ethical systems
170,Ethics
170,Ethics
178,Ethics of consumption
173,Ethics of family relationships
175,Ethics of recreation & leisure
176,Ethics of sex & reproduction
177,Ethics of social relations
963,Ethiopia & Eritrea
395,Etiquette (Manners)
412,Etymology
936,Europe north & west of Italy to ca. 499
243,Evangelistic writings for individuals
212,"Existence, knowability & attributes of God"
662,"Explosives, fuels & related products"
999,Extraterrestrial worlds
304,Factors affecting social behavior
165,Fallacies & sources of error
633,Field & plantation crops
778,Fields & kinds of photography
332,Financial economics
799,"Fishing, hunting & shooting"
532,Fluid mechanics; liquid mechanics
398,Folklore
641,Food & drink
664,Food technology
118,Force & energy
565,Fossil arthropods
568,Fossil birds
566,Fossil chordates
567,Fossil cold-blooded vertebrates; fossil fishes
562,Fossil invertebrates
569,Fossil mammals
563,Fossil marine & seashore invertebrates
564,Fossil mollusks & molluscoids
560,Fossils & prehistoric life
944,France & Monaco
440,French & related languages
840,French & related literatures
443,French dictionaries
842,French drama
844,French essays
442,French etymology
843,French fiction
445,French grammar
847,French humor & satire
447,French language variations
846,French letters
848,French miscellaneous writings
841,French poetry
845,French speeches
441,French writing systems & phonology
684,Furnishings & home workshops
749,Furniture & accessories
708,"Galleries, museums & private collections"
795,Games of chance
635,Garden crops (Horticulture)
533,Gas mechanics
929,"Genealogy, names & insignia"
367,General clubs
80,General collections
352,General considerations of public administration
394,General customs
30,General encyclopedic works
27,General libraries
658,General management
60,General organizations & museum science
781,General principles & musical forms
511,General principles of mathematics
50,General serial publications
316,General statistics of Africa
315,General statistics of Asia
314,General statistics of Europe
317,General statistics of North America
319,General statistics of other areas
318,General statistics of South America
17,General subject catalogs
576,Genetics & evolution
754,Genre paintings
409,Geographic & persons treatment
910,Geography & travel
910,Geography & travel
916,Geography of & travel in Africa
913,Geography of & travel in ancient world
915,Geography of & travel in Asia
914,Geography of & travel in Europe
917,Geography of & travel in North America
919,Geography of & travel in other areas
918,Geography of & travel in South America
551,"Geology, hydrology & meteorology"
516,Geometry
430,German & related languages
830,German & related literatures
433,German dictionaries
832,German drama
834,German essays
432,German etymology
833,German fiction
435,German grammar
837,German humor & satire
437,German language variations
836,German letters
838,German miscellaneous writings
831,German poetry
835,German speeches
431,German writing systems & phonology
430,Germanic languages; German
293,Germanic religion
748,Glass
231,God
226,Gospels & Acts
415,Grammar
760,Graphic arts
760,Graphic arts; printmaking & prints
979,Great Basin & Pacific Slope region
938,Greece to 323
292,Greek & Roman religion
733,"Greek, Etruscan & Roman sculpture"
988,Guiana
585,Gymnosperms; conifers
618,"Gynecology, obstetrics, pediatrics & geriatrics"
683,Hardware & household appliances
536,Heat
697,"Heating, ventilating & air-conditioning"
480,Hellenic languages; classical Greek
880,Hellenic literatures; classical Greek
716,Herbaceous plants
378,Higher education
109,Historical & collected persons treatment
222,Historical books of Old Testament
911,Historical geography
509,"Historical, geographic & persons treatment"
609,"Historical, geographic & persons treatment"
709,"Historical, geographic & persons treatment"
759,"Historical, geographic & persons treatment"
900,History
900,History & geography
900,History & geography
960,History of Africa
960,History of Africa
930,History of ancient world (to ca. 499)
930,History of ancient world to ca. 499
950,History of Asia
950,History of Asia; Far East
270,History of Christianity
270,History of Christianity & Christian church
276,History of Christianity in Africa
275,History of Christianity in Asia
274,History of Christianity in Europe
277,History of Christianity in North America
279,History of Christianity in other areas
278,History of Christianity in South America
940,History of Europe
940,History of Europe
970,History of North America
970,History of North America
990,History of other areas
990,History of other areas
980,History of South America
980,History of South America
809,"History, description & criticism"
774,Holography
640,Home & family management
640,Home & family management
645,Household furnishings
644,Household utilities
648,Housekeeping
643,Housing & household equipment
611,"Human anatomy, cytology & histology"
757,Human figures
612,Human physiology
144,Humanism & related systems
128,Humankind
218,Humankind
233,Humankind
639,"Hunting, fishing & conservation"
627,Hydraulic engineering
167,Hypotheses
946,Iberian Peninsula & adjacent islands
141,Idealism & related systems
614,Incidence & prevention of disease
93,Incunabula
934,India to 647
793,Indoor games & amusements
794,Indoor games of skill
161,Induction
661,Industrial chemicals
665,"Industrial oils, fats, waxes & gases"
356,Infantry forces & warfare
386,Inland waterway & ferry transportation
546,Inorganic chemistry
638,Insect culture
784,Instruments & instrumental ensembles
368,Insurance
747,Interior decoration
382,International commerce
337,International economics
325,International migration & colonization
327,International relations
608,Inventions & patents
592,Invertebrates
955,Iran
672,"Iron, steel & other iron alloys"
297,"Islam, Babism & Bahai Faith"
453,Italian dictionaries
852,Italian drama
854,Italian essays
452,Italian etymology
853,Italian fiction
455,Italian grammar
857,Italian humor & satire
457,Italian language variations
856,Italian letters
858,Italian miscellaneous writings
945,Italian Peninsula & adjacent islands
851,Italian poetry
855,Italian speeches
451,Italian writing systems & phonology
450,"Italian, Romanian & related languages"
450,"Italian, Romanian & related languages"
850,"Italian, Romanian & related literatures"
850,"Italian, Romanian & related literatures"
470,Italic languages; Latin
870,Italic literatures; Latin literature
937,Italy & adjacent territories to 476
952,Japan
232,Jesus Christ & his family
296,Judaism
786,Keyboard & other instruments
108,Kinds of persons treatment
408,Kinds of persons treatment
908,Kinds of persons treatment
1,Knowledge
331,Labor economics
344,"Labor, social, education & cultural law"
712,Landscape architecture
713,Landscape architecture of trafficways
718,Landscape design of cemeteries
710,Landscaping & area planning
400,Language
400,Language
400,Language
495,Languages of East & Southeast Asia
470,Latin & Italic languages
870,Latin & Italic literatures
872,Latin dramatic poetry & drama
873,Latin epic poetry & fiction
877,Latin humor & satire
876,Latin letters
874,Latin lyric poetry
878,Latin miscellaneous writings
871,Latin poetry
875,Latin speeches
340,Law
340,Law
341,Law of nations
349,Law of specific jurisdictions & areas
348,"Laws, regulations & cases"
206,Leaders & organization
675,Leather & fur processing
685,"Leather, fur goods & related products"
26,Libraries for specific subjects
20,Library & information sciences
20,Library & information sciences
25,Library operations
21,Library relationships
570,Life sciences; biology
570,Life sciences; biology
535,Light & infrared & ultraviolet phenomena
410,Linguistics
410,Linguistics
800,Literature
800,Literature & rhetoric
800,"Literature, rhetoric & criticism"
895,Literatures of East & Southeast Asia
830,Literatures of Germanic languages
879,Literatures of other Italic languages
890,Literatures of other languages
840,Literatures of Romance languages
763,Lithographic processes
160,Logic
160,Logic
674,"Lumber processing, wood products & cork"
339,Macroeconomics & related topics
50,"Magazines, journals & serials"
538,Magnetism
599,Mammals
650,Management & auxiliary services
650,Management & public relations
647,Management of public households
680,Manufacture for specific uses
680,Manufacture for specific uses
670,Manufacturing
670,Manufacturing
91,Manuscripts
90,Manuscripts & rare books
90,Manuscripts & rare books
593,Marine & seashore invertebrates
526,Mathematical geography
510,Mathematics
510,Mathematics
642,Meals & table service
610,Medicine & health
610,Medicine & health
189,Medieval western philosophy
995,Melanesia; New Guinea
153,Mental processes & intelligence
935,Mesopotamia & Iranian Plateau to 637
765,Metal engraving
772,Metallic salt processes
669,Metallurgy
671,Metalworking & primary metal products
110,Metaphysics
110,Metaphysics
287,Methodist & related churches
389,Metrology & standardization
766,"Mezzotinting, aquatinting & related processes"
579,"Microorganisms, fungi & algae"
972,Middle America; Mexico
956,Middle East (Near East)
623,Military & nautical engineering
355,Military science
343,"Military, tax, trade & industrial law"
549,Mineralogy
622,Mining & related operations
369,Miscellaneous kinds of associations
102,Miscellany
402,Miscellany
502,Miscellany
602,Miscellany
802,Miscellany
902,Miscellany
702,Miscellany of fine & decorative arts
266,Missions
207,Missions & religious education
889,Modern Greek literature
539,Modern physics
190,Modern western philosophy
190,Modern western philosophy
594,Mollusks & molluscoids
584,Monocotyledons
357,Mounted forces & warfare
69,Museum science
780,Music
780,Music
783,Music for single voices; the voice
508,Natural history
578,Natural history of organisms
719,Natural landscapes
500,Natural sciences & mathematics
146,Naturalism & related systems
225,New Testament
993,New Zealand
70,"News media, journalism & publishing"
70,"News media, journalism & publishing"
72,Newspapers in British Isles; in England
73,Newspapers in central Europe; in Germany
77,Newspapers in eastern Europe; in Russia
74,Newspapers in France & Monaco
76,Newspapers in Iberian Peninsula & adjacent islands
75,Newspapers in Italy & adjacent islands
71,Newspapers in North America
79,Newspapers in other geographic areas
78,Newspapers in Scandinavia
493,Non-Semitic Afro-Asiatic languages
893,Non-Semitic Afro-Asiatic literatures
673,Nonferrous metals
497,North American native languages
897,North American native literatures
977,North central United States
974,Northeastern United States
964,Northwest African coast & offshore islands
119,Number & quantity
518,Numerical analysis
737,Numismatics & sigillography
449,Occitan & Catalan
849,Occitan & Catalan literatures
174,Occupational ethics
651,Office services
429,Old English (Anglo-Saxon)
829,Old English (Anglo-Saxon)
221,Old Testament (Tanakh)
477,"Old, postclassical & Vulgar Latin"
111,Ontology
634,"Orchards, fruits & forestry"
547,Organic chemistry
606,Organizations
106,Organizations & management
406,Organizations & management
506,Organizations & management
706,Organizations & management
806,Organizations & management
906,Organizations & management
62,Organizations in British Isles; in England
63,Organizations in central Europe; in Germany
67,Organizations in eastern Europe; in Russia
64,Organizations in France & Monaco
66,Organizations in Iberian Peninsula & adjacent islands
65,Organizations in Italy & adjacent islands
61,Organizations in North America
68,Organizations in other geographic areas
129,Origin & destiny of individual souls
629,Other branches of engineering
289,Other denominations & sects
179,Other ethical norms
688,Other final products & packaging
439,Other Germanic languages
839,Other Germanic literatures
489,Other Hellenic languages
479,Other Italic languages
490,Other languages
490,Other languages
890,Other literatures
939,Other parts of ancient world to ca. 640
949,Other parts of Europe
996,Other parts of Pacific; Polynesia
149,Other philosophical systems
679,Other products of specific materials
290,Other religions
290,Other religions
363,Other social problems & services
758,Other subjects
750,Painting
750,Painting & paintings
561,Paleobotany; fossil microorganisms
560,Paleontology; paleozoology
933,Palestine to 70
147,Pantheism & related systems
989,Paraguay & Uruguay
131,Parapsychological & occult methods
130,Parapsychology & occultism
130,Parapsychology & occultism
254,Parish administration
259,Pastoral care of families & kinds of persons
253,Pastoral office & work
365,Penal & related institutions
152,"Perception, movement, emotions & drives"
272,Persecutions in church history
613,Personal health & safety
23,Personnel management
742,Perspective
985,Peru
552,Petrology
615,Pharmacology & therapeutics
140,Philosophical schools of thought
100,Philosophy
100,Philosophy & psychology
100,Philosophy & psychology
401,Philosophy & theory
501,Philosophy & theory
601,Philosophy & theory
801,Philosophy & theory
901,Philosophy & theory
210,Philosophy & theory of religion
210,Philosophy & theory of religion
199,Philosophy in other geographic areas
192,Philosophy of British Isles
701,Philosophy of fine & decorative arts
197,Philosophy of former Soviet Union
194,Philosophy of France
193,Philosophy of Germany & Austria
195,Philosophy of Italy
198,Philosophy of Scandinavia
196,Philosophy of Spain & Portugal
191,Philosophy of United States & Canada
414,Phonology & phonetics
779,Photographs
770,Photography & computer art
770,"Photography, photographs & computer art"
139,Phrenology
541,Physical chemistry
530,Physics
530,Physics
138,Physiognomy
571,Physiology & related subjects
773,Pigment processes of printing
632,"Plant injuries, diseases & pests"
580,Plants (Botany)
580,Plants (Botany)
582,Plants noted for characteristics & flowers
730,Plastic arts; sculpture
184,Platonic philosophy
223,Poetic books of Old Testament
172,Political ethics
320,Political science
320,Political science
469,Portuguese
869,Portuguese literature
383,Postal communication
182,Pre-Socratic Greek philosophies
251,Preaching
681,Precision instruments & other devices
487,Preclassical & postclassical Greek
285,"Presbyterian, Reformed & Congregational"
94,Printed books
686,Printing & related activities
769,Prints
346,Private law
519,Probabilities & applied mathematics
652,Processes of written communication
731,"Processes, forms & subjects of sculpture"
637,Processing dairy & related products
338,Production
98,"Prohibited works, forgeries & hoaxes"
224,Prophetic books of Old Testament
284,Protestants of Continental origin
150,Psychology
150,Psychology
351,Public administration
350,Public administration & military science
350,Public administration & military science
336,Public finance
791,Public performances
379,Public policy issues in education
725,Public structures
264,Public worship
203,Public worship & other practices
676,Pulp & paper technology
80,Quotations
385,Railroad transportation
28,Reading & use of other information media
790,Recreational & performing arts
322,Relation of state to organized groups
761,Relief processes (Block printing)
200,Religion
200,Religion
200,Religion
755,Religion
299,Religions not provided for elsewhere
294,Religions of Indic origin
255,Religious congregations & orders
268,Religious education
205,Religious ethics
204,"Religious experience, life & practice"
201,Religious mythology & social theology
271,Religious orders in church history
728,Residential & related buildings
228,Revelation (Apocalypse)
808,Rhetoric & collections of literature
282,Roman Catholic Church
440,Romance languages; French
459,Romanian & related languages
859,Romanian & related literatures
695,Roof covering
265,"Sacraments, other rites & acts"
234,Salvation & grace
628,Sanitary & municipal engineering
948,Scandinavia
371,Schools & their activities; special education
500,Science
500,Science
215,Science & religion
735,Sculpture from 1400
734,Sculpture from ca. 500 to 1399
732,Sculpture to ca. 500
730,"Sculpture, ceramics & metalwork"
359,Sea forces & warfare
373,Secondary education
209,Sects & reform movements
586,Seedless plants
145,Sensationalism
105,Serial publications
405,Serial publications
505,Serial publications
605,Serial publications
805,Serial publications
905,Serial publications
705,Serial publications of fine & decorative arts
51,Serials in American English
52,Serials in English
54,"Serials in French, Occitan & Catalan"
55,"Serials in Italian, Romanian & related languages"
53,Serials in other Germanic languages
59,Serials in other languages
58,Serials in Scandinavian languages
57,Serials in Slavic languages
56,Serials in Spanish & Portuguese
646,"Sewing, clothing & personal living"
653,Shorthand
957,Siberia (Asiatic Russia)
419,Sign languages
186,Skeptic & Neoplatonic philosophies
326,Slavery & emancipation
682,Small forge work (Blacksmithing)
260,Social & ecclesiastical theology
305,Social groups
302,Social interaction
360,Social problems & services; associations
360,Social problems & social services
361,Social problems & social welfare in general
303,Social processes
300,Social sciences
300,Social sciences
300,"Social sciences, sociology & anthropology"
261,Social theology
362,Social welfare problems & services
335,Socialism & related systems
301,Sociology & anthropology
183,Socratic & related philosophies
534,Sound & related vibrations
208,Sources
498,South American native languages
898,South American native literatures
954,South Asia; India
976,South central United States
969,South Indian Ocean islands
959,Southeast Asia
975,Southeastern United States
968,Southern Africa; Republic of South Africa
114,Space
460,Spanish & Portuguese languages
460,Spanish & Portuguese languages
860,Spanish & Portuguese literatures
860,Spanish & Portuguese literatures
463,Spanish dictionaries
862,Spanish drama
864,Spanish essays
462,Spanish etymology
863,Spanish fiction
465,Spanish grammar
867,Spanish humor & satire
467,Spanish language variations
866,Spanish letters
868,Spanish miscellaneous writings
861,Spanish poetry
865,Spanish speeches
461,Spanish writing systems & phonology
6,Special computer methods
404,Special topics
604,Special topics
704,Special topics in fine & decorative arts
523,Specific celestial bodies & phenomena
353,Specific fields of public administration
693,Specific materials & purposes
575,Specific parts of & systems in plants
140,Specific philosophical schools
573,Specific physiological systems in animals
581,Specific topics in natural history
591,Specific topics in natural history
133,Specific topics in parapsychology & occultism
235,Spiritual beings
269,Spiritual renewal
790,"Sports, games & entertainment"
792,Stage presentations
428,Standard English usage
448,Standard French usage
438,Standard German usage
458,Standard Italian usage
468,Standard Spanish usage
418,Standard usage & applied linguistics
310,Statistics
188,Stoic philosophy
787,Stringed instruments
117,Structure
717,Structures in landscape architecture
154,Subconscious & altered states
617,Surgery & related medical specialties
166,Syllogisms
753,"Symbolism, allegory, mythology & legend"
3,Systems
321,Systems of governments & states
522,"Techniques, equipment & materials"
542,"Techniques, equipment & materials"
631,"Techniques, equipment & materials"
771,"Techniques, equipment & materials"
751,"Techniques, equipment, materials & forms"
600,Technology
600,Technology
600,Technology
668,Technology of other organic products
124,Teleology
746,Textile arts
677,Textiles
252,Texts of sermons
700,The arts; fine & decorative arts
220,The Bible
2,The book
328,The legislative process
324,The political process
126,The self
127,The unconscious & the subconscious
214,Theodicy
101,Theory of philosophy
115,Time
514,Topology
388,Transportation; ground transportation
961,Tunisia & Libya
973,United States
246,Use of art in Christianity
696,Utilities
587,Vascular seedless plants
987,Venezuela
782,Vocal music
714,Water features
387,"Water, air & space transportation"
966,West Africa & offshore islands
978,Western United States
788,Wind instruments
694,Wood construction & carpentry
715,Woody plants
909,World history
411,Writing systems
295,Zoroastrianism